"conc_group","filter_ok_unter_gok","HA","kf_bez","gwn_mean","sand_depth_weighted_mean","corg_gehalt_depth_weighted_mean","Makroporen_rounded","area_sentinel_id_12","area_sentinel_id_16","area_sentinel_id_20"
"1",68,"P","1",171.590515136719,42.88756,4.816,"2",37265.9527345211,12400.4940395554,58591.3371617362
"2",4.94,"P","2",135.436676025391,92.8125,1.118,"1",73599.5744785083,79501.7981430516,70013.3539354339
"2",3.5,"P","2",134.179214477539,85.78128,3.096,"1",140333.345565419,64597.2909847895,150959.493497138
"1",11,"P","1",109.959022521973,86.601589,0.9718,"1",0,0,3635.12969215711
"1",16.5,"P","2",163.699234008789,85.78128,0.774,"1",0,318488.647656583,64713.8386646907
"2",74,"K/P","2",81.9909439086914,31.9438,1.505,"1",140265.302192055,0,169950.791199631
"1",17.2,"P","3",262.48583984375,42.84071,1.548,"2",681.449501076713,18202.5130485495,184824.326323345
"2",3,"P","2",243.935729980469,92.8125,1.677,"1",36900,97677.1824703649,399081.775164255
"1",21.73,"P","2",104.731895446777,35.93756,0.645,"2",89425.9525035978,3592.68065069888,170234.693651398
"1",35,"P","2",120.93962097168,13.10458,1.548,"1",0,167166.28037829,81207.8228018712
"1",29,"P","2",159.377548217773,13.1011,4.902,"2",133.333333333333,7823.33518527448,392037.59188035
"2",9.8,"P","2",135.386657714844,16.80542,1.634,"3",110407.785962816,221646.259234945,91306.7344858568
"1",6,"P","2",203.20703125,19.74599,2.666,"2",0,43364.6777530511,63334.5861856205
"1",8,"K","1",114.605804443359,86.64376,1.032,"1",1809.92374839261,14566.6666666667,160927.007274307
"1",25.5,"P","2",104.840347290039,86.64376,1.032,"1",1207.32354897279,14333.3333333333,124133.199231542
"2",4.8,"P","2",51.7415580749512,46.1876,1.72,"1",226521.011724349,11766.6666666667,152213.318221201
"1",17,"P","2",105.222808837891,55.67504,1.032,"2",859685.799460456,51759.6276344193,51060.3645351058
"1",4.22,"P","2",196.109161376953,92.8125,1.806,"1",0,11522.5378338248,322158.370480442
"2",3.26,"P","2",181.467544555664,16.255125,2.021,"2",129243.927322701,16300,327623.500406815
"1",11,"K","1",84.5483245849609,15.54156,1.72,"2",67691.3531447499,32014.7792699434,294249.762367118
"1",5,"P","2",94.337776184082,74.16254,2.322,"1",0,33.3333333333333,8133.33333333333
