"conc_group","filter_ok_unter_gok","HA","kf_bez","gwn_mean","sand_depth_weighted_mean","corg_gehalt_depth_weighted_mean","Makroporen_rounded","area_sentinel_id_14","area_sentinel_id_16"
"2",6,"P","2",160.761291503906,19.74599,2.666,"2",93296.7999381945,37233.3333333333
"1",36,"P","2",78.436408996582,92.8125,0.9288,"1",0,2539.53401371837
"1",25,"P","2",225.118637084961,76.44378,1.032,"1",12900,777746.950854894
"1",17,"P","2",92.2986602783203,49.72506,1.548,"2",23775.6354156882,150141.801747102
"2",28,"K","1",87.2315139770508,54.34504,3.053,"1",16053.3641900557,20005.9216778924
"2",5,"P","2",96.6329193115234,13.1011,4.902,"2",28593.4146959956,33677.3501266415
"1",24.4,"P","2",74.0341796875,70.09848,1.376,"2",33.3333333333333,233.333333333333
"2",6.2,"P","2",93.0665435791016,19.69961,3.354,"3",70264.1417448109,481583.567502281
"2",8,"P","2",194.553268432617,92.8125,0.8686,"1",9813.71968848398,18966.6666666667
"1",23,"P","2",58.124641418457,72.978175,1.376,"1",0,33085.1444906999
"1",9,"P","2",74.541374206543,31.9438,1.505,"1",666.666666666667,2166.66666666667
"1",6,"P","2",8.60953426361084,92.8125,0.946,"1",0,39884.5075177203
"1",3,"P","2",173.916549682617,86.52502,0.774,"1",8047.28053195092,53698.907682416
"2",2.9,"P","2",143.438400268555,36.8126,19.78,"2",72747.1464983765,314487.276187722
"2",1.63,"P","2",120.768989562988,69.72505,1.548,"2",8571.64577090492,46341.1649782832
"2",16.08,"P","2",190.32177734375,55.36254,1.634,"2",11027.508147123,227420.398591008
"1",70.1,"K","2",55.2677764892578,52.9844,3.225,"2",0,52334.1571224776
"1",10,"P","2",174.925643920898,16.80542,1.634,"3",0,261526.392009582
"1",7.8,"K/P","1",184.380325317383,56.61564,1.548,"2",10333.3333333333,23904.886145331
"2",3,"P","2",138.696395874023,86.64376,1.032,"1",19967.18414249,326755.176230792
"2",9.3,"P","3",223.620513916016,40.3407,1.548,"2",200,166.666666666667
"1",11.8,"P","3",496.806457519531,25.0138,4.2656,"2",0,0
"1",11.1,"P","2",134.043167114258,92.8125,1.548,"1",0,14097.8453291561
"1",25.5,"P","1",115.536468505859,85.78128,1.032,"1",0,25350.2950124443
"2",65,"K/Ka","2",150.491668701172,13.28666,1.548,"2",2515.75208182136,9633.35757656023
"1",6.8,"P","2",50.6097106933594,72.378175,1.376,"1",933.333333333333,9433.33333333333
"2",2,"P","3",241.805313110352,19.74599,2.666,"2",2433.33333333333,36156.6321037477
"2",46,"K/Ka","2",132.971710205078,20.369375,1.333,"1",0,106921.167081983
"1",13,"P","2",151.455978393555,88.12502,3.182,"1",0,24079.6202243616
"1",11,"P","3",58.5499114990234,84.023475,1.29,"1",0,74800
"1",2,"P","2",58.5804901123047,60.40002,2.15,"2",0,200
"2",2,"P","2",165.087112426758,92.8125,1.677,"1",7400,770.869607695689
"1",22,"K","2",71.9688568115234,74.237853,1.548,"1",324004.45261898,19667.0957251762
"1",19,"P","2",149.977569580078,74.237853,1.548,"1",16275.5388407968,28445.5893722673
"1",6,"K","1",92.6990051269531,15.1885,1.935,"2",14242.3003151858,101759.314572363
"1",29,"P","2",210.051483154297,92.8125,2.064,"1",51825.2328057647,33866.6666666667
"2",18,"P","2",182.684692382812,31.26994,1.935,"1",210062.33133671,305606.10384261
"1",16,"P","2",36.5361785888672,54.80008,0.86,"1",70907.075911444,106303.711252411
"1",15.8,"P","2",137.025436401367,71.231593,1.548,"1",0,92237.2731094559
"1",12,"P","2",212.925430297852,83.43754,0.774,"1",0,131312.787380668
"1",9.1,"P","2",73.3592300415039,31.9438,1.505,"1",165306.340722605,60678.9938028766
"2",22.54,"P","2",144.596313476562,13.03926,2.15,"2",30744.6882703904,17200
"1",14.5,"P","2",96.1809234619141,72.978175,1.376,"1",3546.08455399672,7139.33784166972
"1",3.3,"K/Ka","1",67.7270355224609,23.578175,1.892,"1",33239.4017395297,29058.3102291217
"1",10,"P","2",197.601043701172,92.8125,1.806,"1",0,111908.283298814
"1",34,"P","2",59.4798736572266,80.2938,1.032,"1",0,116813.040450411
"2",5,"P","3",159.882232666016,64.78444,1.5652,"1",2700,132500.752114702
"2",9,"P","3",267.220642089844,23.25005,2.3822,"1",0,166.666666666667
"1",7,"P","3",90.2939834594727,60.40002,2.15,"2",31207.8138074313,17692.3732073357
"1",17,"P","2",83.0503005981445,69.67502,1.548,"1",0,16039.8748454948
"2",21,"P","2",98.7336502075195,92.8125,0.8686,"1",175259.928251905,62148.3773263482
"1",2,"P","3",194.923385620117,28.28132,3.053,"1",4758.47098641098,132224.123583092
"1",27,"P","2",95.2125625610352,86.95315,1.376,"1",0,56129.2917838941
"2",16,"P","2",161.88037109375,74.237853,1.548,"1",0,40087.3110135804
"1",5.3,"P","2",90.7768478393555,46.94383,1.505,"2",4600.50502760957,101483.374353686
"1",31,"P","2",121.579139709473,12.9465,1.548,"1",13491.7991995811,165943.368600916
"1",9.5,"K","1",101.985778808594,31.9438,1.505,"1",464522.200703815,17844.2484805981
"2",16.6,"P","2",81.3527297973633,38.6782,1.72,"2",0,50732.8542839891
"1",3,"P","2",206.777923583984,72.193776,2.1328,"1",1337.05655382946,4294.45068002678
"1",5.3,"P","3",160.393966674805,42.84071,1.548,"2",66.6666666666667,2896.18091428808
"1",8.35,"K","1",83.8739852905273,15.1885,1.935,"2",168698.473517125,24887.7143688384
"1",4.3,"P","3",312.426574707031,42.66258,1.634,"2",0,82258.3876787995
"1",5.74,"P","2",216.082611083984,92.8125,2.064,"1",15275.8383987122,8765.48958097895
"2",10,"P","2",178.557754516602,86.601589,0.9718,"1",418098.494409573,3529.19474734614
"2",11.38,"P","2",47.5700912475586,60.40002,2.15,"2",117777.996518478,112296.882429063
"2",10.2,"P","3",150.697036743164,54.37193,1.548,"2",4615.81543671588,110382.280563945
"1",4.67,"P","2",169.584091186523,92.8125,2.4854,"1",0,19821.5935717026
"1",6.3,"P","3",318.064910888672,42.66258,1.634,"2",283.278712630272,114470.974963838
"2",5.4,"P","2",113.616676330566,31.26994,1.935,"1",22606.3052964838,0
"1",5,"P","2",58.8169326782227,71.831295,2.279,"2",4359.65526501338,11857.7322230985
"2",6.52,"P","2",180.216903686523,19.74599,2.666,"2",21947.5128579652,33744.5480658595
"1",4.42,"P","2",163.182342529297,92.8125,1.247,"1",47218.6092513148,27424.7712945333
"2",7.5,"K/Ka","2",163.391052246094,22.5938,2.3822,"1",29424.5474589368,24700
"1",7.1,"P","2",55.5352668762207,71.831295,2.279,"2",94524.4667603013,166.666666666667
"1",4.1,"P","2",70.7483215332031,86.601589,0.9718,"1",0,43352.383169949
"1",3.04,"P","2",122.649917602539,92.8125,0.5246,"1",0,180494.08197292
"1",1.5,"P","2",226.968719482422,13.1011,16.942,"1",18401.8152738611,23217.0726903714
"1",50.6,"K/Ka","2",99.832160949707,13.5705,0.645,"2",0,2900
"1",8.8,"P","3",176.740768432617,19.74599,2.666,"2",1904.00892067701,258667.858716844
"1",6.5,"P","2",20.397144317627,55.59852,3.483,"2",2500,7233.33333333333
"1",6,"P","2",53.314079284668,80.2938,1.032,"1",0,7988.35599586989
"1",2.5,"P","2",194.032287597656,92.8125,2.064,"1",26988.2794002692,78311.3007901781
"2",30,"K/Ka","2",93.2195205688477,31.26994,1.935,"1",207582.829330221,5192.30713337238
"1",18,"K","1",151.978363037109,56.58414,0.516,"1",0,6847.01473315557
"1",78,"P","2",233.440994262695,92.8125,1.677,"1",0,6744.08479326715
"1",10.25,"P","2",88.5396270751953,86.64376,1.032,"1",27683.7804421503,15222.3201957682
"1",18,"P","3",518.395385742188,15.1885,3.612,"2",3300,66.6666666666667
"2",6,"K","2",79.3356170654297,20.7233,1.72,"2",647718.543878981,94.7728775441647
"1",5,"P","3",241.572006225586,51.88757,4.859,"1",0,29344.0867987617
"1",24,"P","2",44.8610649108887,86.015654,1.591,"1",0,36988.5577982136
"2",7.91,"K","2",95.074462890625,14.4927,1.72,"2",519691.225453397,1325.5305907951
"1",8,"P","2",121.140251159668,92.8125,2.064,"1",15242.2945106421,7700
"2",4.48,"P","2",188.427154541016,25.8938,5.16,"2",2049.6835231781,17300
"2",25,"K","1",75.5695953369141,15.1885,1.548,"2",112039.307735021,24970.2378536264
"1",73,"P","2",140.285400390625,60.84382,0.774,"1",33.3333333333333,58.2280814647675
"2",5,"P","2",140.078811645508,46.225085,1.161,"2",8433.33333333333,47553.4943627194
"2",5,"K","2",75.2040786743164,92.8125,2.6316,"1",200,4333.33333333333
"1",16.5,"P","2",35.8687705993652,14.21438,3.44,"2",182660.728044845,1088094.13126931
"2",9,"P","1",85.8560562133789,15.474275,1.419,"2",384842.478084536,70639.7198573977
"1",5.3,"P","2",62.5394439697266,31.9438,1.505,"1",111066.666666667,16433.3333333333
"2",4.75,"P","3",188.861953735352,27.492265,1.548,"2",33.3333333333333,101362.775285471
"1",12.4,"P","2",36.7984046936035,92.8125,0.774,"1",122305.810597097,8690.83405062556
"1",6.8,"P","2",195.919998168945,92.8125,0.86,"1",58164.2191419999,11624.0106555944
"2",25,"P","2",223.268035888672,92.8125,1.978,"1",28166.6666666667,46605.4468028325
"1",15,"K","2",107.680480957031,33.04695,1.032,"1",0,1177.58877178033
"1",3.2,"P","2",76.7950897216797,60.40002,2.15,"2",25099.6446785478,29.1894940116132
"2",17,"K","2",60.1801910400391,31.26994,1.935,"1",185043.572736384,12500
"1",17,"P","2",199.902847290039,42.6063,3.956,"2",865.946992238363,1704.75272331387
"1",3,"K","1",185.001892089844,77.0938,1.548,"1",0,0
"2",27.85,"P","2",99.8293914794922,15.420165,2.537,"2",466903.460016746,750696.416930333
"2",4,"P","3",155.766036987305,21.240625,2.709,"2",35407.8905233046,71433.3333333333
"2",4.1,"P","3",199.25422668457,27.492265,1.548,"2",0,182096.862445888
"1",12.1,"P","2",58.4241371154785,92.8125,2.064,"1",22187.6316645066,19633.3333333333
"1",39,"P","2",181.591781616211,46.225085,1.161,"2",24375.9682212723,26400
"1",5,"P","2",135.40202331543,92.8125,2.064,"1",38922.2406034212,51808.0725828632
"1",45,"K","2",109.602821350098,92.8125,2.6316,"1",0,1500
"1",52,"P","2",75.1701507568359,92.8125,0.774,"1",0,0
"1",42,"P","2",262.204406738281,36.984475,2.58,"2",0,0
"2",13,"P","2",163.989562988281,31.26994,1.935,"1",704.593753752609,8466.66666666667
"1",26,"K","2",59.955150604248,14.4927,1.72,"2",21412.6361640665,42584.7179547563
"1",6,"P","2",77.4469223022461,92.8125,1.118,"1",0,46465.432556284
"1",17.42,"P","2",169.874984741211,92.8125,1.0836,"1",0,5452.53023505211
"1",12,"P","2",140.790130615234,92.8125,2.064,"1",28964.2716238163,28190.6981621093
"1",13,"P","2",82.746208190918,86.601589,0.9718,"1",13278.3780727613,64333.1007372743
"1",15,"P","1",73.9072570800781,92.8125,0.9288,"1",0,16800
"2",4,"P","2",134.870056152344,92.8125,2.064,"1",2119.76139694452,194428.561669433
"1",18,"P","2",90.5071258544922,84.95315,0.946,"1",3866.66666666667,64333.3333333333
"2",9.2,"P","2",131.446441650391,92.8125,1.0664,"1",0,51076.3978172598
"2",3.8,"P","3",233.086303710938,33.5938,1.548,"2",2866.66666666667,104719.234673774
"1",2.3,"P","2",134.786575317383,92.8125,1.247,"1",115825.058334281,18866.6666666667
"2",26,"K","1",126.253799438477,14.4927,1.72,"2",250297.844819445,14788.407523963
"1",1.5,"P","2",29.421314239502,14.4927,1.72,"2",159485.626315264,92913.1147782003
"1",7.5,"K","1",71.9383087158203,31.497055,0.903,"2",98330.0206512601,7984.48154234017
"2",29,"P","2",144.445693969727,92.8125,0.5246,"1",31794.0020649073,39679.7067225755
"1",19.1,"P","2",114.004188537598,92.8125,0.774,"1",0,33.3333333333333
"1",5.5,"K","1",200.546249389648,30.2938,1.032,"1",0,18334.2771048968
"1",34.57,"P","3",140.271743774414,36.53135,1.548,"2",36233.3333333333,3970.04664291938
"2",16,"P","2",175.551071166992,15.8843,2.666,"2",0,32975.3788429002
"2",26,"P","3",206.557861328125,17.77015,1.548,"3",64711.9638244466,14986.2702636574
"1",3.8,"P","2",2.42395925521851,92.8125,2.408,"1",0,20807.6593775904
"1",15,"P","2",163.03742980957,77.0938,2.8638,"1",85.0594673926632,50945.7728926248
"1",41,"P","1",224.512405395508,66.5625,1.032,"2",0,18066.6666666667
"2",1.09,"P","2",147.10578918457,92.8125,2.064,"1",0,131025.207482775
"1",4.58,"K","1",140.976303100586,56.61564,1.548,"2",0,7664.37347450604
"2",21,"P","2",160.690872192383,84.60941,0.774,"1",15108.2607677362,0
"1",18,"P","3",199.922149658203,60.47505,1.548,"2",0,188792.442553549
"1",12,"K/Ka","2",56.5972480773926,31.9438,1.505,"1",66459.9815596865,17558.7002049461
"1",42,"K","2",138.10676574707,66.5625,0.774,"2",33.3333333333333,100
"1",2,"P","2",201.615539550781,92.8125,2.064,"1",16200,417.367348653109
"1",6.5,"P","2",111.919013977051,54.37193,1.548,"2",6739.40215452264,309.449464362115
"2",18,"K/Ka","2",152.673477172852,29.69186,5.719,"1",4700,9367.15397084287
"1",8,"P","3",353.919555664062,31.26994,1.935,"1",7733.33333333333,34045.1069495951
"1",3,"P","3",184.615646362305,60.47505,1.548,"2",18593.5645174235,4704.11265088866
"1",3.19,"K","1",77.0575714111328,78.6938,1.29,"1",0,10277.2076246639
"2",6,"K","2",127.146812438965,39.93601,1.419,"1",6000,19533.3333333333
"1",2.7,"P","3",141.885070800781,64.78444,1.5652,"1",4833.33333333333,78496.3609924807
"1",46.83,"K","1",215.084167480469,18.5305,1.591,"2",0,20670.8015920012
"2",8.2,"P","3",185.272232055664,19.74599,2.666,"2",15966.6666666667,1042732.64331189
"1",9.9,"P","2",149.412582397461,78.0938,0.645,"1",0,102776.933790262
"1",8,"P","2",108.315795898438,71.098175,1.29,"1",0,13509.0704166951
"2",6.5,"P","2",189.922607421875,19.69961,3.354,"3",76134.0352952927,91343.384453567
"1",8,"P","2",146.607223510742,42.93911,1.935,"2",42559.5689229919,11901.5601742896
"2",3.95,"P","2",146.077362060547,92.8125,2.064,"1",47381.7879891186,26797.1201553126
"1",20,"P","2",136.586990356445,92.8125,1.892,"1",833.333333333333,164333.084614858
"1",23.79,"K/Ka","3",224.222869873047,18.73488,1.806,"3",1933.33333333333,28392.2222466983
"2",7.6,"P","2",103.021430969238,42.4376,2.322,"2",17092.8078544637,1374404.72735832
"1",6.55,"P","3",223.866622924805,19.74599,2.666,"2",0,36333.3333333333
"2",11.52,"P","2",113.56681060791,22.84962,2.838,"3",195770.228940443,557408.324585561
"1",15,"P","3",407.451568603516,48.97503,14.706,"3",0,14566.6666666667
"2",9.94,"P","2",60.1619834899902,42.4376,2.322,"2",129261.942781599,2013348.85994497
"1",24,"K/Ka","2",13.3846263885498,14.21438,3.44,"2",154648.255463806,69708.1129815429
"2",3.5,"K","1",36.1384658813477,19.378945,2.58,"2",0,1800
"1",7.5,"P","2",226.115997314453,92.8125,1.247,"1",0,233.333333333333
"2",16.2,"P","2",166.454315185547,42.4376,2.322,"2",291430.978544668,337796.88339472
"1",6.7,"P","2",96.8228378295898,54.80008,0.86,"1",35088.6360064227,45987.6115164176
"1",9.5,"P","2",172.489013671875,84.60941,0.774,"1",6266.05357083802,35686.3618342594
"1",20,"K","2",428.966613769531,79.1625,14.8608,"1",0,300
"1",11.2,"P","2",107.715141296387,65.5313,2.58,"1",2733.33333333333,203410.345707989
"2",4.5,"K/Ka","2",132.045349121094,22.5938,2.236,"1",3461.34245745352,22272.3572063764
"2",18.2,"P","2",131.191177368164,59.62508,1.29,"1",10700,1110744.41206451
"2",4.1,"P","3",199.081741333008,34.440725,1.677,"2",28498.2496482752,369128.630409845
"1",2,"P","3",137.819091796875,66.35631,1.548,"1",0,11917.2752538948
"1",3.3,"P","3",179.978271484375,34.440725,1.677,"2",0,49435.4732861432
"1",30,"P","2",161.508117675781,92.8125,0.8686,"1",46260.9923037506,35340.2146597703
"1",6.5,"P","2",137.53630065918,92.8125,0.0172,"1",33.3333333333333,33.3333333333333
"1",4.6,"P","2",238.149658203125,92.8125,1.978,"1",0,42304.6854839195
"1",23,"P","2",31.5645160675049,45.65005,1.548,"2",4766.66666666667,74699.9711673629
"2",3,"P","2",70.59130859375,13.1011,4.902,"2",224602.167963233,33273.4891961018
"1",14,"P","2",135.187561035156,84.95315,0.946,"1",0,39318.1991148197
"1",3.5,"P","2",111.336029052734,78.66567,1.548,"1",22519.4471949711,48709.8465196951
"2",12,"K","1",88.4745483398438,19.378945,2.58,"2",132063.211262288,48894.7308400025
"1",9.1,"P","3",353.617095947266,53.33288,2.451,"1",48625.1615427434,11497.2453026411
"2",31.8,"P","2",170.835296630859,86.64376,1.032,"1",0,152894.80352646
"1",8,"P","2",57.2189445495605,92.8125,1.376,"1",84703.4162381431,0
"1",53,"P","2",150.552307128906,85.78128,3.096,"1",0,23946.8514864333
"1",21.74,"P","2",188.257781982422,15.420165,2.537,"2",1408.29705525345,8962.04476878823
"2",8.5,"P","2",190.410079956055,22.5938,5.16,"3",107327.658714677,105855.798117406
"1",10,"K","1",94.2905197143555,41.5001,1.548,"2",0,13159.6579373096
"1",1.49,"K","1",112.091552734375,67.05002,1.161,"1",27465.1606988162,42682.8189283609
"2",7,"P","2",108.349098205566,54.34504,3.053,"1",5833.33333333333,41670.6661793947
"2",6.51000000000001,"K/Ka","3",195.061630249023,20.51536,1.032,"1",0,88355.277035106
"1",11.5,"P","3",692.07958984375,62.9763,3.956,"1",0,62.9575332005819
"1",6,"P","3",138.525283813477,54.37193,1.548,"2",33.3333333333333,7.06490725278854
"2",13.5,"P","2",176.217956542969,70.648455,0.86,"2",71719.3556884737,480764.351943321
"2",28,"K/Ka","2",89.4981384277344,20.3197,1.935,"2",20966.6666666667,19823.6542626284
"1",2,"P","2",193.539184570312,92.8125,0.5246,"1",0,39493.5715164058
"1",7.5,"P","2",173.916610717773,19.69961,3.354,"3",54996.5520997842,237208.403851185
"2",33,"P","2",170.163879394531,92.8125,1.247,"1",2166.66666666667,22996.3393811796
"1",61.7,"P","2",73.4694900512695,60.09349,0.774,"2",6266.66666666667,75253.0677790366
"1",3,"P","2",186.79704284668,92.8125,0.8686,"1",0,3725.78753484025
"2",18.3,"P","3",200.793472290039,17.72132,0.774,"1",181275.01239744,88122.8645474013
"2",10,"P","2",46.4984817504883,29.61567,2.967,"2",304940.123247887,1078906.0956728
"1",38.05,"P","2",60.6278114318848,70.33129,0.946,"1",172875.859718413,7478.91905700477
"1",11,"K/Ka","2",148.185012817383,18.252515,2.15,"3",0,4399.97811677555
"1",20,"P","2",233.604125976562,41.0157,4.515,"1",0,2100.17289059858
"1",15.7,"P","2",173.715057373047,16.80542,1.634,"3",0,312711.253937713
"1",71.4,"P","2",72.2707366943359,66.5625,0.989,"2",79.8525227854649,212682.074630884
"1",33,"P","2",56.4836387634277,92.8125,0.9288,"1",0,47465.1536564032
"2",3.2,"P","3",197.844024658203,12.9465,1.548,"3",34.6824790040652,32623.8912706651
"1",3.2,"P","2",233.232269287109,13.1011,4.902,"2",0,145154.209731279
"1",6.3,"P","2",60.7616195678711,71.831295,2.279,"2",20800,11561.8479020583
"2",2.5,"P","3",216.266220092773,13.03926,2.15,"2",35469.3460557279,68914.7194108053
"1",8,"P","2",101.954048156738,92.8125,0.774,"1",0,125316.052159186
"1",18.71,"P","2",64.7149047851562,69.67502,1.548,"1",78700.980122011,39094.7949085385
"1",6.12,"P","2",119.653129577637,92.8125,0.5246,"1",0,36150.9005652731
"2",8,"P","2",139.248016357422,67.13132,1.376,"1",42499.8138945472,867871.420388039
"1",9.51,"K","1",58.2300491333008,38.28132,1.505,"2",0,12041.5057102839
"1",22,"K","2",128.27571105957,66.5625,0.731,"2",4019.81605490049,98138.2106813757
"2",3,"P","2",248.902191162109,86.601589,0.9718,"1",153729.012767676,35890.7926197164
"1",2.8,"P","2",215.037567138672,92.8125,2.064,"1",5065.88420943978,66803.9599206939
"1",12.22,"K","1",138.242813110352,67.05002,1.161,"1",33.3333333333333,1364.56513532127
"1",5.59,"P","2",155.950790405273,92.8125,2.322,"1",1833.33333333333,137343.403339599
"1",15.98,"P","2",54.7620468139648,51.8469,0.344,"2",900,30658.2505390048
"2",5,"P","2",137.736450195312,15.04934,1.118,"2",175236.267384429,18513.1660373668
"1",2.3,"P","3",170.865859985352,54.37193,1.548,"2",18100,42133.3333333333
"1",33,"P","2",188.725006103516,56.44382,2.15,"1",0,26433.5787715133
"1",14.59,"P","2",94.8791656494141,92.8125,0.9288,"1",2300,55382.2041993418
"1",27.5,"P","2",16.3685493469238,13.7969,2.58,"2",0,14239.3943571776
"2",6.5,"P","3",112.451667785645,17.11544,1.548,"3",5257.4424992005,369185.703472186
"2",7,"P","2",147.102828979492,22.84962,2.838,"3",273642.888486366,113820.360483844
"1",20.67,"P","2",59.1361846923828,92.8125,0.9288,"1",0,0
"1",9,"P","2",195.202835083008,92.8125,0.5246,"1",4770.42617779225,10912.0070389162
"1",2.92,"P","3",260.107116699219,53.33288,2.451,"1",133.333333333333,5133.33333333333
"1",14,"P","2",134.839263916016,92.8125,1.118,"1",33.3333333333333,118197.846358425
"1",3.5,"K","1",132.141357421875,59.63754,3.5088,"1",0,100
"1",18.5,"P","2",41.8396873474121,65.61568,1.72,"1",66.6755916926074,9314.3434087017
"1",16.15,"P","2",68.1222610473633,69.67502,1.548,"1",40449.0653379184,14013.7664736249
"1",61,"K","1",44.0646591186523,37.20479,1.29,"2",0,19511.4310470099
"1",11,"P","2",75.5802764892578,84.9375,0.903,"1",0,33.3333333333333
"1",5,"P","2",167.683334350586,46.1876,2.15,"2",125971.887900165,60573.3325343113
"1",4.37,"P","2",65.3303070068359,92.8125,1.376,"1",0,900
"1",5.67,"P","2",125.03630065918,22.5938,3.225,"2",0,27083.4822238687
"1",4,"P","2",137.212966918945,92.8125,2.064,"1",0,3066.66666666667
"1",10.6,"P","2",100.264236450195,46.94383,1.505,"2",0,11684.7413963987
"1",47.5,"K/Ka","2",53.1414642333984,14.054969,2.2704,"2",0,83082.3308736784
"1",16.05,"K/Ka","2",81.9560775756836,15.8843,1.032,"2",13431.3779457627,374845.742034093
"2",5.94,"P","3",202.640502929688,61.07191,2.064,"2",149493.676687028,267038.326403776
"1",38,"P","2",207.010528564453,92.8125,0.774,"1",2233.33333333333,1833.33333333333
"1",15.57,"P","2",136.966659545898,92.8125,1.247,"1",0,0
"2",30.5,"P","2",132.567321777344,15.420165,2.537,"2",503501.145822189,565439.980783026
"1",8,"P","2",81.2925033569336,92.8125,0.7826,"1",10520.5102119847,15122.8905151288
"1",3,"K/Ka","2",174.179077148438,31.26994,1.935,"1",33.3333333333333,333.333333333333
"1",6,"P","2",84.8269729614258,92.8125,1.29,"1",0,0
"2",10.5,"P","2",184.884002685547,31.26994,1.935,"1",102520.973463325,32954.5668015877
"2",9.6,"P","2",146.280731201172,22.5938,5.16,"3",302612.927900477,158233.690679839
"2",0,"P","2",99.5146331787109,86.64376,1.032,"1",81.7175359465182,65298.6854924588
"1",82,"K","2",90.0774917602539,92.8125,2.6316,"1",3600,3963.85883539915
"1",46,"K/Ka","2",34.1601219177246,31.9438,1.505,"1",105887.943351486,56900
"1",11.5,"P","2",217.989990234375,92.8125,0.8686,"1",366.666666666667,2033.33333333333
"2",10,"P","2",87.3807601928711,55.67504,1.032,"2",0,2385.79879403114
"1",8,"P","3",293.059448242188,42.66258,1.634,"2",0,54205.8612703191
"2",8.16,"K/P","2",101.017807006836,84.167215,1.118,"1",25094.7910733831,433.333333333333
"2",4.1,"P","3",197.351501464844,26.55632,1.72,"1",0,176610.609671799
"1",9.15,"P","2",117.38648223877,92.8125,0.5246,"1",33.3333333333333,29293.1195638143
"1",11,"P","2",62.055908203125,92.8125,0.774,"1",0,26531.6895063675
"1",17.7,"P","2",30.5210781097412,92.8125,1.29,"1",0,79.1239667062958
"2",6.5,"P","2",151.56217956543,84.78128,0.645,"1",181401.477004834,970219.365262815
"1",5.56,"P","2",45.0201797485352,12.9465,4.171,"2",0,5140.39954418937
"1",11.82,"P","2",68.7563400268555,46.65558,0.86,"2",0,15333.3333333333
"1",8,"P","2",56.4703712463379,92.8125,0.043,"1",575.086220850547,51433.3333333333
"1",23.01,"K","1",101.025428771973,64.38132,0.774,"1",0,11479.8519359902
"1",20,"K/Ka","2",106.259880065918,13.727677,3.354,"2",0,0
"1",18.48,"P","2",90.3275604248047,60.40002,2.15,"2",0,83848.3310191981
"2",8.6,"P","2",62.9742431640625,51.8469,0.344,"2",0,12412.671595038
"1",13.74,"P","2",113.003211975098,92.8125,1.72,"1",300,10166.6666666667
"1",4,"P","2",158.4052734375,19.74599,2.666,"2",38263.9209003512,124925.079096516
"1",8.54,"P","3",240.712921142578,42.84071,1.548,"2",6366.66666666667,79878.4747610412
"1",12.1,"P","2",116.414375305176,92.8125,1.118,"1",0,12729.2762225416
"2",46,"K/P","2",125.159683227539,22.5001,1.548,"3",79038.9984587828,86696.4518999681
"1",3,"P","2",112.700057983398,31.26994,1.935,"1",0,2166.66666666667
"2",5.8,"K","2",121.256729125977,65.5313,1.6125,"1",76009.9034474581,207588.420943529
"2",3.2,"P","2",133.294296264648,32.86615,1.505,"2",10933.3333333333,28266.6666666667
"1",41.97,"P","2",59.5323753356934,81.0938,1.376,"1",0,7200
"1",15.3,"P","2",129.316101074219,46.94383,1.505,"2",68008.5295300019,18966.6666666667
"2",6,"P","2",147.804885864258,86.601589,0.9718,"1",171131.246619304,57929.4718301545
"2",7.9,"K/Ka","2",100.170181274414,22.5938,2.236,"1",3782.58570010463,5050.51672644913
"2",5.36,"P","2",38.580753326416,43.98133,3.182,"2",31772.7811461014,4033.33333333333
"1",9.5,"P","3",157.733139038086,64.78444,1.5652,"1",0,32262.0143572489
"1",20.3,"K","1",74.8324737548828,19.443875,1.29,"2",33.3333333333333,30618.3536786962
"2",12,"P","2",169.575286865234,89.7375,0.946,"1",9233.33333333333,6133.33333333333
"1",20.5,"P","2",82.3298645019531,15.0019,0.774,"2",53661.5964188636,33040.6989882467
"1",19.84,"P","2",116.089775085449,26.52625,1.462,"2",133.333333333333,3474.44460491339
"1",6.9,"P","2",143.587417602539,92.8125,3.698,"1",0,7952.50292940739
"2",14,"P","2",139.114212036133,92.8125,1.72,"1",7866.66666666667,55260.7201631656
"1",8,"P","2",232.707778930664,76.44378,1.032,"1",33.3333333333333,411085.299901531
"1",7,"P","2",35.9294586181641,92.8125,1.376,"1",0,2958.48100561804
"1",10.12,"P","2",121.963340759277,92.8125,0.5246,"1",140919.700896701,36752.2942232899
"1",9.86,"P","2",158.179580688477,92.8125,0.5246,"1",66.6666666666667,38554.814942771
"1",5,"P","2",147.057144165039,86.601589,0.9718,"1",126000.112380955,44647.7465907733
"1",15,"K/P","2",96.7931747436523,20.369375,1.333,"1",7033.33333333333,14596.5867780149
"1",48,"P","2",172.741516113281,81.42657,1.118,"1",0,8961.3855060133
"2",6,"P","2",183.098922729492,64.31256,1.548,"2",207633.01089004,81671.02363642
"2",4.44,"P","2",190.869079589844,81.0938,0.774,"1",233043.856830723,190526.329848711
"1",8.5,"P","2",53.5833778381348,92.8125,1.376,"1",100,21666.6666666667
"1",8.1,"P","2",49.8424110412598,92.8125,1.376,"1",0,303734.39354746
"2",16,"P","2",113.47102355957,92.8125,1.0664,"1",3466.66666666667,45498.397145234
"2",12.2,"P","2",83.783576965332,21.77217,2.494,"3",39240.4010986973,741348.952003139
"1",21,"P","2",113.896827697754,92.8125,1.118,"1",0,26803.0922671159
"1",2,"P","2",110.324714660645,31.26994,1.935,"1",32.5123985608419,2178.64613704429
