"conc_group","filter_ok_unter_gok","HA","kf_bez","gwn_mean","sand_depth_weighted_mean","corg_gehalt_depth_weighted_mean","Makroporen_rounded","area_sentinel_id_14","area_sentinel_id_16"
"2",11,"P","2",179.359344482422,77.0938,2.8638,"1",633.333333333333,20600
"2",10.5,"P","2",149.101257324219,42.88756,4.816,"2",59870.4160799583,20435.9070442237
"2",6,"P","3",185.004989624023,45.845405,1.548,"2",33.3333333333333,31424.3222403917
"1",26.3,"P","3",182.023391723633,60.47505,1.548,"2",21517.5871451904,804585.327530486
"1",2.14,"P","2",208.711029052734,92.8125,1.806,"1",66.6666666666667,2658.98778835932
"2",2.4,"P","2",217.400466918945,72.88128,1.806,"1",246451.904937221,43926.7170085814
"1",6.5,"K","1",77.1532592773438,46.1876,1.032,"1",0,136.048793792725
"1",12,"P","2",129.46257019043,92.8125,0.129,"1",0,79936.9652258639
"1",9.7,"P","3",182.213012695312,72.193776,2.1328,"1",0,400
"1",3.5,"P","2",134.179214477539,85.78128,3.096,"1",261692.792448246,64597.2909847895
"1",11,"P","2",169.930419921875,89.7375,0.946,"1",5333.46214296956,26137.4533816551
"1",5,"K","1",20.8414974212646,13.1011,3.354,"2",31869.6750201906,75413.1772771944
"1",5,"P","2",244.180938720703,66.5625,0.9288,"1",0,3266.66666666667
"2",6.8,"P","2",95.2712326049805,52.12664,1.763,"2",95733.3333333333,1563416.74255509
"1",22.5,"P","3",176.292572021484,60.47505,1.548,"2",0,40800
"2",16.73,"P","2",67.4748687744141,46.94383,1.505,"2",0,11984.1470091914
"1",52,"P","2",56.4836387634277,92.8125,0.9288,"1",0,47465.1536564032
"1",6,"P","2",144.467803955078,82.06253,0.774,"1",25200,41331.9298980137
"2",5.5,"P","2",165.753616333008,64.31256,1.548,"2",0,97603.0301004638
"1",1.75,"K","1",305.071746826172,72.193776,2.1328,"1",0,566.666666666667
"1",5.6,"P","2",173.861587524414,92.8125,1.806,"1",5733.33333333333,3666.66666666667
"1",21,"P","2",141.002548217773,89.7375,0.946,"1",0,21795.6279524292
"1",5.8,"K/Ka","1",126.068367004395,44.59069,1.548,"2",33.3333333333333,10580.9666603804
"1",5.64999999999999,"K","1",122.770561218262,56.61564,1.548,"2",0,4233.33333333333
"1",7.1,"P","3",125.390426635742,26.55632,1.72,"1",3266.66666666667,146721.490364424
"1",34.2,"K/Ka","2",61.8529319763184,52.315675,0.774,"2",47532.9730771094,388.540154695511
"2",18,"P","2",88.0229339599609,55.36254,1.634,"2",14084.816476334,142267.068248084
"1",18.1,"P","2",82.7845077514648,86.95315,0.516,"1",51923.3360887583,4298.7791121006
"1",2.8,"P","3",263.318878173828,15.1885,3.612,"2",11853.8367543564,26412.7752761046
