"conc_group","filter_ok_unter_gok","HA","kf_bez","gwn_mean","sand_depth_weighted_mean","corg_gehalt_depth_weighted_mean","Makroporen_rounded","area_sentinel_id_1","area_sentinel_id_10","area_sentinel_id_12","area_sentinel_id_13","area_sentinel_id_14","area_sentinel_id_15","area_sentinel_id_16","area_sentinel_id_17","area_sentinel_id_18","area_sentinel_id_19","area_sentinel_id_2","area_sentinel_id_20","area_sentinel_id_21","area_sentinel_id_3","area_sentinel_id_4","area_sentinel_id_7","area_sentinel_id_9"
"1",7.1,"P","2",42.722599029541,92.8125,1.376,"1",161276.444646289,339187.359315474,275191.297604493,18047.7849479862,0,10599.2573420207,1101039.51357774,0,500,0,153145.12074381,165652.95997321,100,506971.792741449,52317.5458882528,9957.45946816169,634.655929206444
"2",27,"P","3",118.994514465332,63.57035,1.419,"1",7133.33333333333,286075.74912336,0,6100,5300,1989.8504187353,294006.411372894,0,4533.33333333333,0,16738.6444461788,11674.192849795,59768.2033949958,0,3814.57403217015,0,0
"2",24,"K","2",23.8670558929443,14.21438,3.44,"2",1062192.01873321,256840.886109703,591700.492583022,24855.8396788411,75341.4532593006,44935.9149107457,40141.9284628336,0,1766.21193687121,0,167677.022577256,315077.838078945,333.748565490047,0,165874.528825917,36182.1168864262,0
"1",28.7,"P","2",82.4068069458008,86.64376,1.032,"1",3331.51632296115,0,2605.03280371001,0,988.55302001272,0,657.492302854856,39893.4532545507,31933.2866741965,0,0,251965.603928501,3876.99534724622,0,1908.67407483359,0,0
"1",1.75,"K","1",305.071746826172,72.193776,2.1328,"1",0,0,33.3333333333333,0,0,0,566.666666666667,0,54797.3638832569,0,0,308724.256856491,1400,0,0,0,0
"1",7,"P","2",80.6213912963867,85.78128,0.774,"1",28834.5147973989,446823.810318219,0,33.3333333333333,3064.06490802765,96565.3791594553,81527.0759731429,0,55269.1987412671,0,0,303099.533538097,66.6666666666667,211164.108214948,3454.00540637023,4237.11254832645,0
"2",3,"P","2",209.854522705078,28.28132,3.053,"1",77458.2228947882,196228.986989663,9140.60673512918,19566.6666666667,5300.16909968276,968.277515267759,77886.8474897993,0,528517.634362443,0,154206.484314939,369552.098746421,64047.2573091509,0,163355.379069175,591.726224973111,16772.8988610208
"2",10,"P","3",156.753921508789,26.72737,4.128,"3",144020.845915893,498442.219887107,4069.30702726046,0,14300,63633.3333333333,4700,0,433.333333333333,0,23678.3726621342,129118.953484312,66.6666666666667,0,271956.363625235,0,9736.22541576624
"2",4,"P","3",190.821624755859,19.74599,2.666,"2",282918.948418551,1168977.949157,10045.6791618063,1949.17197871837,4825.67367752393,563.626344284664,63207.7627630051,0,68605.2263820544,0,139012.138296101,329364.959635937,155959.252632426,33.3333333333333,181749.657404623,1800,10326.6973160828
"2",4,"P","3",171.418792724609,32.03132,2.0382,"1",966.666666666667,11066.6666666667,66.6666666666667,0,0,0,600,0,38309.1742242716,0,0,177131.456113743,3476.20846416491,0,9266.66666666667,166.647775967916,33.3333333333333
"2",1,"P","2",228.316329956055,19.69961,3.354,"3",1569.94081029358,1669.96855414473,0,0,0,0,0,0,17731.001396648,0,1950.01722532324,50456.1358804504,24629.3074267916,0,0,0,0
"2",7.2,"P","3",178.884521484375,19.74599,2.666,"2",444459.288487238,1211638.27212956,0,0,4700,14033.3333333333,110558.277669425,103.918338815371,21332.3571387499,0,91440.3985881123,10337.0530876486,36813.3783129704,0,52133.0871991153,0,0
"2",8.2,"P","3",185.272232055664,19.74599,2.666,"2",188546.706986691,474589.759103453,9166.66666666667,4033.33333333333,15966.6666666667,2000,1042732.64331189,101639.94318825,19065.8146368534,0,68639.6236808571,47510.3654546042,228885.180320154,2033.33333333333,14866.6666666667,6700,2700
"2",4.1,"P","3",196.313629150391,27.492265,1.548,"2",275923.788323984,911662.647848025,96099.975130447,17958.9743117491,24057.4327247062,11300,464386.562681526,0,21886.7812673251,0,94913.7772021835,46531.0044438345,373324.388071708,2042.4899504309,141767.506555235,0,30868.2172640072
"2",2,"K/Ka","2",187.813674926758,32.5001,1.548,"3",33.3333333333333,3495.08536097904,0,0,0,0,32564.5932914068,0,80966.9400756075,0,0,376595.699429592,733.333333333333,0,66.6666666666667,0,0
"2",6.7,"P","2",161.997375488281,55.36254,1.634,"2",23675.4732847524,174369.377874886,82989.3475334121,31100,33.3333333333333,129972.716045442,986545.594963742,0,50997.5571722879,0,306380.798842909,151612.940123371,131364.69293936,170940.502859829,95423.9639612681,1910.13145024578,58900
"2",11.5,"P","2",242.313888549805,16.80542,1.634,"3",136284.298874717,66294.0574397255,104149.581428539,4900,50271.655980981,59672.7714120925,112818.766993573,0,0,0,393273.851247695,19586.911285917,7846.68343017499,0,59791.3937087947,0,14000
"1",3.9,"P","2",168.337493896484,13.1011,4.902,"2",0,31513.6520463352,0,0,2733.06740323702,0,4566.66666666667,0,27387.2745531301,0,13932.5309960792,83183.0861809208,12378.3874632024,0,20256.0809712857,0,0
"2",15,"P","3",191.25700378418,19.74599,2.666,"2",299314.065854469,737394.262748182,61847.6880627335,0,3166.66666666667,6800,186766.929163101,0,17607.2311694423,0,333694.55685398,49681.1336940465,189489.311608329,2200,89717.5708685601,0,271.527371745712
"2",15.2,"P","2",119.847320556641,66.5625,0.989,"2",0,0,14100,0,0,0,83866.7015354343,0,30400,0,21339.0162961131,33466.6666666667,61074.1639081651,0,8162.06771177822,24.0713082253933,0
"2",5,"P","3",159.882232666016,64.78444,1.5652,"1",23760.0264327969,312563.213442945,0,0,2700,0,132500.752114702,0,42733.3333333333,0,228334.571272793,182752.236563868,282505.091806996,0,87441.7286345636,4900,21583.8281509777
"2",5.9,"K/Ka","2",50.0324516296387,22.5938,2.3822,"1",418515.769649761,248195.22393302,95295.5445419997,20713.5690859829,33.3333333333333,33.3333333333333,5288.47160190344,69093.0541797231,47556.0683354735,0,107846.309466516,158626.725941245,95084.426351885,0,80046.0233244055,33.6717382383843,12500
"1",6.8,"P","2",50.6097106933594,72.378175,1.376,"1",16959.4846416265,197358.818541575,81201.2977444872,267287.105974663,933.333333333333,33.3333333333333,9433.33333333333,0,600,0,93523.5891259586,169316.594523666,0,941866.117383133,89347.932664012,12666.6666666667,66.6666666666667
"1",0.5,"P","2",130.35954284668,27.58132,3.354,"1",110255.090043021,94420.8559084271,0,0,27638.1809434698,40047.7962286134,384679.180919075,0,65270.3870861403,0,67900.1864632902,62914.9275522369,111105.968835048,61277.685657454,84873.1843219459,3400,14566.6666666667
"2",24.5,"P","2",194.517288208008,45.845405,1.548,"2",305190.723692054,341914.290694994,167708.183050759,0,0,0,2972.85998463631,0,9371.80466627081,0,183059.314499122,116912.92286509,3216.36166497289,12533.3333333333,181335.72274789,0,23401.2769227925
"2",3,"P","2",26.8473224639893,31.9438,1.505,"1",12100,159513.981551739,0,33763.6671166246,0,0,2266.66666666667,0,166.666666666667,0,3800,155689.365962155,0,86703.0830454528,61333.3333333333,0,0
"1",59,"P","2",54.8250427246094,86.95315,1.376,"1",0,28776.2754752781,0,54238.8281366322,0,0,8755.45367474009,0,532.610686620077,0,3300,325099.027812877,1004.60696021716,51594.5704905316,0,23663.3258742591,0
"2",1,"P","3",148.533508300781,64.78444,1.5652,"1",44103.5674265842,131885.93298629,0,0,0,16424.6311397379,63304.2134589677,0,21766.6666666667,0,32158.218902625,52230.912787669,62333.2943963818,150849.113941227,116426.017899097,233.333333333333,9355.71536957286
"2",43.5,"P","2",193.212768554688,45.845405,1.548,"2",419657.971414107,421147.64216183,133980.444745877,4234.20349309842,10691.454903502,10618.1505199134,33008.6693622172,0,0,0,326028.207281568,45001.65245682,2333.33333333333,0,52415.6017351197,5437.16433967153,37336.9182332264
"1",7,"P","2",58.5584411621094,92.8125,1.376,"1",102467.22744387,274411.720458857,300064.364252165,64040.7763038762,0,0,0,0,500,0,475286.282504895,260373.421200996,66.6666666666667,195551.301236491,456591.219532463,54125.5064099561,223994.12678292
"1",4,"P","2",51.5215377807617,92.8125,3.698,"1",854174.028989445,612513.594542224,223439.237584122,33624.5061352248,0,0,56800,0,133.333333333333,0,70790.4549730166,125671.540078397,0,450839.706281152,51378.0921063396,46203.412032334,0
"1",34,"K/Ka","1",248.459457397461,22.5938,2.3822,"1",22533.3333333333,78487.2581982713,1833.33333333333,600,0,1300,9841.42656842402,0,14750.4977213047,0,5266.66666666667,95956.1065763972,12158.6735285198,0,118451.752692508,133.333333333333,2933.33333333333
"2",11.5,"P","2",215.604736328125,16.80542,1.634,"3",45037.6700911656,44671.9190755238,16800,10407.0522161822,66561.6987443359,41174.197724772,123090.672001118,0,3452.06923385461,0,103972.397509697,31751.6349504391,85609.7673649589,133.333333333333,80083.2356722715,600,11366.6666666667
"2",9.99,"P","2",103.127471923828,85.78128,1.032,"1",381539.095432486,1310908.10530731,171977.918214393,49481.8719327104,2866.66666666667,47834.2212351911,8433.33333333333,0,166.666666666667,0,0,278020.085681672,133.333333333333,0,3933.33333333333,12079.8959801594,3321.81719740232
"2",5.5,"P","2",141.836044311523,31.26994,1.935,"1",274277.013141671,125547.458761314,32085.8876899079,0,117035.490277646,4132.51919446823,19567.3938970082,4025.4400451978,8172.66977777084,0,11001.0171676404,269684.657232826,34523.5325246972,0,111023.794654605,0,3501.40135476637
"2",5,"P","3",182.842956542969,60.47505,1.548,"2",99529.6892559417,639727.19721788,0,6530.1751729877,16617.3561919131,83918.9611676459,1221209.20631158,0,32723.9875181268,0,62060.7294952186,8125.98432128628,124695.308442829,0,16790.9798026182,0,10077.2687762238
"2",7.5,"P","2",200.64013671875,20.66434,2.15,"3",22980.6165249844,27760.8007243499,15853.2342520853,0,0,0,15409.9660244163,0,7956.78415407116,0,60056.7710898855,45498.0259872507,36240.9626538186,3326.52984758218,34197.2304549605,0,0
"1",15,"P","2",84.6439895629883,92.8125,0.9288,"1",0,259151.79337679,0,262089.659317198,0,0,94216.4017523328,0,0,0,100196.914676812,27624.1729597251,0,694839.254254256,0,10233.3333333333,97397.8123595814
"2",4.1,"P","3",197.972351074219,34.440725,1.677,"2",262201.438711529,810185.179641862,68892.2636452234,7833.33333333333,37506.3673138774,12047.3896080007,422419.849955214,0,11205.9043213584,0,113302.879178858,13361.5415515378,301060.879833596,800,106806.31056518,0,37433.3333333333
"2",6.6,"P","2",119.355880737305,84.95315,0.946,"1",0,0,0,133.333333333333,266.666666666667,66.6666666666667,69747.3192879651,0,36336.3083883344,0,166.666666666667,97154.0464750491,700,53782.6263786439,0,54204.1862091506,54734.7066932503
"1",17,"P","2",62.6222457885742,62.25942,0.86,"1",263123.781562788,394208.444009931,320410.864371313,23400,0,0,0,0,33.3333333333333,0,294162.412744393,106874.644435981,0,366324.724730737,74414.8889813572,23610.5914935082,1963.09817110499
"2",12.5,"P","3",139.748016357422,63.57035,1.419,"1",10133.3333333333,409463.962430455,0,6100,5300,5519.65364346761,516178.791977488,0,876.166447194798,0,60133.2532310082,6566.82690571373,107639.933284038,0,4366.66666666667,0,0
"2",5.28,"P","2",44.8463096618652,80.59533,1.376,"1",5199.52307542165,465159.0846272,91585.7869357278,65361.9849285841,0,33.3333333333333,3333.33333333333,0,600,0,33431.7699545941,160973.91418613,66.6666666666667,560190.478311582,0,10666.6666666667,0
"2",6,"P","2",187.376129150391,17.36972,1.978,"3",590298.080099211,466005.103692046,115303.308099267,9607.81309500938,96483.4285082296,19346.9840369265,50883.8043057733,0,106970.785595973,0,367765.861933133,41283.0876890259,57334.5824843893,0,181947.86714415,0,0
"1",11,"P","2",171.713928222656,32.5001,1.548,"3",22200.2166260655,28999.2362800986,54427.6127815247,66.6666666666667,0,133.333333333333,48633.3333333333,0,141306.456788667,0,111153.885092423,486739.952488158,17304.4959330233,166.666666666667,43784.6640537085,633.333333333333,6100
"2",5,"P","2",70.57763671875,83.057849,1.9178,"1",12305.4477316618,227105.409206997,0,2226.44159719348,2866.66666666667,33.3333333333333,9014.03574046368,0,7100,0,51366.6666666667,292900.348380317,366.666666666667,464753.042314118,58258.0461104711,20101.3760094841,28933.3382455011
"2",1.1,"P","2",227.602523803711,92.8125,1.548,"1",3000,514926.791743187,0,0,0,2100,166.666666666667,0,100,0,31900,203214.312726061,0,113126.427241663,57226.9937117307,41033.3333333333,0
"1",11.96,"P","2",51.2995681762695,92.8125,0.9288,"1",0,70892.1656111178,0,121858.809540539,0,0,1962.94994927011,0,0,0,66.6666666666667,26120.5219167828,166.666666666667,17031.5098019106,11426.0455796284,33.3333333333333,0
